epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.778,1.1701,1.60862,1.61049,0.16024,0.35284,0.12059,0.03959,2.17881,5.06167,2.90617,0.0700655,0.00332606,0.00332606
2,205.202,1.10692,1.41295,1.56229,0.37143,0.27194,0.2335,0.10877,1.90696,3.15805,2.34961,0.0400639,0.00665776,0.00665776
3,302.314,1.04269,1.28408,1.50631,0.56126,0.47849,0.47958,0.22179,1.7677,2.42117,2.22234,0.0100557,0.00998296,0.00998296
4,403.443,0.97344,1.19894,1.45597,0.56346,0.46644,0.43821,0.21749,1.69581,1.9984,2.1324,0.00997803,0.00997803,0.00997803
5,501.136,0.93402,1.12635,1.41825,0.57179,0.48881,0.47019,0.20781,1.73393,2.03673,2.01421,0.00996097,0.00996097,0.00996097
6,601.967,0.89995,1.07211,1.38824,0.40988,0.47504,0.39927,0.17707,1.69166,2.05235,2.06975,0.00993906,0.00993906,0.00993906
7,698.432,0.88938,1.06231,1.38279,0.6553,0.55626,0.61119,0.32426,1.53084,1.50079,1.82907,0.00991232,0.00991232,0.00991232
8,797.094,0.87554,1.0304,1.36776,0.71077,0.63167,0.69648,0.40899,1.38078,1.40963,1.66879,0.00988079,0.00988079,0.00988079
9,896.533,0.86892,1.01177,1.36159,0.71671,0.61397,0.67182,0.33928,1.51997,1.55789,1.78727,0.00984449,0.00984449,0.00984449
10,997.081,0.84303,0.97989,1.34373,0.70802,0.52496,0.59807,0.32508,1.49773,1.71121,1.80265,0.00980345,0.00980345,0.00980345
11,1099.46,0.83796,0.96308,1.33114,0.72507,0.63339,0.71955,0.41878,1.35882,1.28157,1.64329,0.00975773,0.00975773,0.00975773
12,1202.19,0.82062,0.93996,1.32361,0.79728,0.56799,0.6711,0.35173,1.55737,1.37343,1.85618,0.00970736,0.00970736,0.00970736
13,1301.97,0.82366,0.93935,1.32221,0.74488,0.6179,0.69555,0.4012,1.41957,1.33863,1.73027,0.00965239,0.00965239,0.00965239
14,1403.01,0.80986,0.92301,1.31368,0.72607,0.61589,0.67938,0.33714,1.59144,1.40139,1.78512,0.00959289,0.00959289,0.00959289
15,1501.74,0.80145,0.90395,1.30704,0.6902,0.62651,0.67596,0.39105,1.4205,1.34436,1.67667,0.00952889,0.00952889,0.00952889
16,1601.25,0.80576,0.90224,1.3023,0.68856,0.60125,0.64708,0.36234,1.49594,1.37073,1.80822,0.00946048,0.00946048,0.00946048
17,1702,0.79792,0.8899,1.30411,0.78345,0.65384,0.76147,0.43953,1.41418,1.19242,1.67633,0.00938772,0.00938772,0.00938772
18,1802.7,0.78318,0.87115,1.28611,0.75071,0.60241,0.69169,0.37909,1.5134,1.34133,1.7799,0.00931067,0.00931067,0.00931067
19,1903.03,0.78157,0.86705,1.2885,0.76065,0.6509,0.7428,0.41619,1.44133,1.20014,1.66547,0.00922942,0.00922942,0.00922942
20,2003.02,0.77772,0.85676,1.28341,0.74467,0.62995,0.70429,0.38214,1.52711,1.28733,1.82383,0.00914405,0.00914405,0.00914405
21,2102.5,0.7775,0.85702,1.2837,0.84152,0.70372,0.80628,0.46437,1.44972,1.08227,1.66249,0.00905463,0.00905463,0.00905463
22,2201.85,0.76928,0.83755,1.27772,0.76496,0.68158,0.75286,0.41574,1.51358,1.20827,1.76759,0.00896127,0.00896127,0.00896127
23,2301.9,0.7605,0.8426,1.26945,0.838,0.74182,0.83124,0.50879,1.34422,0.99202,1.58501,0.00886404,0.00886404,0.00886404
24,2402.11,0.76278,0.82298,1.26719,0.87149,0.70568,0.82042,0.45688,1.49743,1.06437,1.73685,0.00876305,0.00876305,0.00876305
25,2503.73,0.76389,0.82905,1.27657,0.85289,0.73838,0.82651,0.51395,1.26093,0.97575,1.4948,0.00865839,0.00865839,0.00865839
26,2605.52,0.74796,0.81727,1.26287,0.86668,0.72633,0.81947,0.50867,1.30473,0.98745,1.54192,0.00855018,0.00855018,0.00855018
27,2705.49,0.75044,0.81186,1.26236,0.84908,0.71945,0.83547,0.49096,1.34962,1.01049,1.61214,0.00843851,0.00843851,0.00843851
28,2806.84,0.74918,0.80567,1.26089,0.82256,0.75215,0.85235,0.52592,1.27368,0.94254,1.51213,0.00832349,0.00832349,0.00832349
29,2902.62,0.75157,0.80613,1.25491,0.84345,0.75112,0.84142,0.51716,1.29157,0.94705,1.51881,0.00820525,0.00820525,0.00820525
30,3001.98,0.74261,0.79044,1.25644,0.86987,0.75933,0.85397,0.50263,1.37334,0.92227,1.58618,0.00808389,0.00808389,0.00808389
